,date,flyer,title,body,url
0,21:01,El drama del conurbano,"Cuántos pobres más hacen falta para reaccionar, la dura advertencia de un sindicalista",,https://www.clarin.com/economia/pobres-hacen-falta-reaccionar-dura-advertencia-sindicalista_0_EccV4WcTs.html
1,20:31,El principal correo privado.,OCA: la justicia pide a un grupo vinculado a Cristóbal López que mejore su oferta,,https://www.clarin.com/economia/oca-justicia-pide-grupo-vinculado-cristobal-lopez-mejore-oferta_0_6OYWEMa0G.html
2,19:03,Retoman negociación virtual.,"Martín Guzmán avisa: si no se arregla con el FMI, “pasaríamos a ser un país paria”",,https://www.clarin.com/economia/martin-guzman-avisa-arregla-fmi-pasariamos-pais-paria-_0_rg6sN-vtR.html
3,13:09,La nueva movilidad.,Jubilaciones: el Gobierno hace un “empalme” peor que el de Mauricio Macri y los haberes pierden la suba de un trimestre,,https://www.clarin.com/economia/jubilaciones-gobierno-hace-empalme-mauricio-macri-haberes-perderian-suba-trimestre_0_MNdvrmSGf.html
4,06:26,El color del dinero.,"Nada se pierde, todo se transforma: energía limpia de deshechos cloacales",,https://www.clarin.com/economia/pierde-transforma-energia-limpia-deshechos-cloacales_0_u9SiB3gOI.html
5,00:01,Política impositiva.,Impuesto a la riqueza: controversias que anticipan juicios,,https://www.clarin.com/economia/impuesto-riqueza-controversias-anticipan-juicios_0_BbOWEoocXT.html
6,00:00,Política social.,Para salir de la crisis se necesita un perdón amplio y generoso,,https://www.clarin.com/economia/salir-crisis-necesita-perdon-amplio-generoso_0_iRJbQQLc3.html
7,00:00,El bloque comercial más grande del mundo.,Un acuerdo que cambia el eje de los negocios internacionales,,https://www.clarin.com/economia/rcep-paso-internacionalizacion-productiva_0_CRgdx-Ki7.html
8,00:00,Spots.,Diego y la publicidad: creatividad sin límites,,https://www.clarin.com/economia/marketing-y-publicidad/diego-publicidad-creatividad-limites_0_yVNnmLzz_.html
9,00:00,Secretos empresarios.,"Crisis y pandemia, una combinación letal para los comercios",,https://www.clarin.com/economia/crisis-pandemia-combinacion-letal-comercios_0_i-d7cJff8.html
10,Sab 28.11.2020,La economía que viene.,"En un año y con un súper-cepo, Alberto Fernández se comió los dólares cash del colchón externo",,https://www.clarin.com/economia/ano-super-cepo-alberto-fernandez-comio-dolares-cash-colchon-externo_0_dzKmiLNWr.html
11,Sab 28.11.2020,Precios.,La carne explicó la mitad de la inflación en alimentos en la cuarta semana de noviembre,,https://www.clarin.com/economia/carne-explico-mitad-inflacion-alimentos-cuarta-semana-noviembre_0_t-gmc7Ojr.html
