,date,flyer,lead,headline,body,url
0,"
Martes 22 de diciembre",LUCRO CAPITALISTA ,"Varios barrios fueron afectados por la falta de servicio. Mientras las empresas exigen nuevos tarifazos, otra vez son los usuarios los afectados por un servicio de mala calidad. ¿Por qué los servicios públicos tienen que estar en manos de empresas que sólo buscan mejorar sus ganancias?",Masivo corte de luz: Edesur y los servicios públicos convertidos en negocio,"A solo un día del comienzo del verano en la Argentina, este martes hubo un corte de luz masivo que afectó a varios barrios de la Ciudad de Buenos Aires, más de 350.000 los usuarios afectados.La empresa Edesur, responsable de brindar el servicio, primero sostuvo que se debió a ""una falla en la red de alta tensión"" en la Subestación Perito Moreno, y luego afirmó que se trató de “un incendio intencional que afectó líneas de alta tensión”. Más allá de si consideramos o no como válida la explicación de la empresa, lo que no se puede negar son los reiterados cortes de luz como ocurrió a mediados de año en la provincia de Buenos Aires que derivó en una reunión entre el presidente Alberto Fernández y Nicola Melchotti, CEO de Enel, empresa controlante de Edesur.Edesur es una empresa de distribución del AMBA y tiene entre sus accionistas a Nicolás Caputo (amigo de Macri). El Estado italiano es el principal accionista de Enel. Esta firma participa en todas las etapas: generación, transporte, comercialización y distribución.Te puede interesar: Luz y gas: lucro capitalista versus derecho esencialEste martes fue noticia dicha empresa, pero los reiterados cortes corresponden a otras  compañías también. Las empresas privatizadas que gestionan los servicios públicos tienen una larga historia de un servicio de mala calidad. ¿Por qué los servicios públicos que son un derecho esencial tienen que estar en manos de empresas que sólo buscan mejorar sus ganancias?Las empresas presionan por nuevos tarifazos, pero el Gobierno informó que hasta marzo se mantienen congeladas las tarifas de luz y de gas. Después llegarán los tarifazos. La decisión de postergar los aumentos correspondió a que no caería muy bien que se emitan facturas más caras en el medio de los cortes de luz que prevé el Gobierno que habrá por una mayor cantidad de usuarios concentrados en el Gran Buenos Aires que no se hayan ido de vacaciones.Las empresas privatizadas estuvieron entre las ganadoras durante el gobierno de Macri, fueron beneficiadas por los aumentos de tarifas.  Durante los primeros tres años del macrismo, entre 2016 y 2018, las empresas distribuidoras de energía subieron las tarifas entre 1.000 y 1.200 %. Y las de gas en 2.000 %. Los salarios no tuvieron ese mismo premio, el poder de compra se desplomó en la era Macri.En 2019, Macri congeló las tarifas, pero las empresas ya habían amasado fortunas. Entre 2016 y 2018, las principales empresas sumaron U$S 3.525 millones de ganancias.Las empresas se lamentan de las tarifas congeladas. Pero Edesur en 2019 a pesar de la crisis ganó $12.681 millones, es decir $ 35 millones por día.La empresa Edenor, hoy en manos de Marcelo Mindlin, está en busca de un comprador. Uno de los interesados en comprarla, confesó a Alejandro Bercovich para Bae Negocios que “ni soñamos con aumentos tarifarios como los del macrismo. Esto es negocio incluso con subas moderadas y tarifa social"". Es decir, sigue siendo rentable para los empresarios.Por su parte, el deterioro del servicio no es casual. La empresa Edesur disminuyó este año la inversión como publica en su página web. En los primeros nueve meses del año las inversiones alcanzaron los $ 6.219 millones, un 44 % menos que en el mismo período de 2019. Según la compañía, la reducción se debe a “la menor caja disponible por el congelamiento tarifario y por limitaciones impuestas por Decreto de Necesidad y Urgencia (DNU) durante la cuarentena”. De ser así, ¿por qué el servicio no mejoró durante el Gobierno de Macri que hubo grandes tarifazos? Los cortes de luz siguieron.Alberto Fernández prometió en la campaña electoral que pesificaría las tarifas que Macri dolarizó. Sin embargo, las tarifas siguen dolarizadas. También el Gobierno archivó lo que proponía cuando estaba en la oposición. En 2018 el peronismo impulsó en el Congreso Nacional un proyecto para retrotraer las tarifas de agua, gas y luz a noviembre de 2017 y sugería una actualización según el Coeficiente de Variación Salarial para los usuarios residenciales. Esto tampoco sucedió, ahora se debate un nuevo tarifazo para el año próximo.Te puede interesar: De Alfonsín a Macri, los servicios públicos convertidos en negocio¿Quiénes siguen ganando? Las empresas privatizadas. El kirchnerismo mantuvo el esquema privatizador del menemismo y subsidió a las empresas. El macrismo dolarizó las tarifas y avaló incrementos siderales. Ahora Fernández negocia un nuevo aumento de tarifas que impactarán en el bolsillo de los trabajadores y los sectores populares.Los servicios públicos son un derecho esencial para el pueblo trabajador. No pueden quedar en manos de empresas que sólo buscan aumentar sus ganancias. Para terminar con el negocio de las privatizadas es necesario la estatización sin pago del sistema energético nacional, es decir de todas las etapas productivas: desde la extracción de los recursos, la generación, el transporte hasta la distribución a los usuarios.  El sistema energético nacional tiene que estar bajo gestión y control de los trabajadores, además, debe comprender la participación de comités de usuarios populares.Te puede interesar: Sigue el congelamiento de tarifas: ¿la pesificación y el fin de las privatizaciones para cuándo?",https://www.laizquierdadiario.com/Economia/Masivo-corte-de-luz-Edesur-y-los-servicios-publicos-convertidos-en-negocio
1,"
Martes 22 de diciembre",INFORME JUNTA INTERNA ATE INDEC,"Es el monto de una canasta de consumos mínimos en noviembre para un hogar de dos adultos mayores y dos menores, según publicó la Junta Interna de ATE Indec. El costo de vida aumenta mientras se negocian paritarias de miseria.",Ningún trabajador debería ganar menos de  $ 78.800,"La Junta Interna de ATE Indec estimó la canasta de consumos mínimos de noviembre en $ 78.827,10. El costo de vida sube mientras las paritarias que negocian las empresas, el Gobierno y los dirigentes sindicales son de miseria y están por debajo de la inflación.El informe detalla que un hogar constituido por una pareja de 35 años con dos hijos en edad escolar necesitó, en noviembre de 2020, ese monto para satisfacer sus necesidades. Este valor se compone de $ 26.423,70 necesarios para adquirir una Canasta Alimentaria Mínima y de $ 52.403,40 para acceder a otros bienes y servicios básicos.Los trabajadores del Indec explican que estas canastas indican un piso para que cada asalariada o asalariado esté en condiciones de cubrir las necesidades básicas de su núcleo familiar y, afirman que “ningún trabajador debería ganar -de bolsillo-menos que el valor calculado en este ejercicio”.El documento advierte sobre la pérdida salarial de los trabajadores del sector público y denuncian la paritaria pobre que acordó recientemente UPCN y ATE con el Gobierno que convalida la caída del poder adquisitivo de los últimos años. También advierten sobre la situación de los trabajadores precarizados del Estado como son los monotributistas, que “a la pérdida del poder adquisitivo general, se le debe sumar la no percepción de medios aguinaldos, presentismo y las exiguas sumas fijas que el gobierno otorga como paliativo”.Es necesario un salario mínimo equivalente a la canasta de consumos mínimos, y la actualización automática de salarios en función de la inflación. Los dirigentes sindicales tienen que ponerse al frente de las medidas de lucha en defensa del salario y de los puestos de trabajo.Te puede interesar: Gobierno, UPCN y ATE cierran paritaria estatal que convalida el ajuste",https://www.laizquierdadiario.com/Economia/Ningun-trabajador-deberia-ganar-menos-de-78-800
2,"
Martes 22 de diciembre",INFORME INDEC,"Los datos corresponden al informe sobre la ""Distribución del Ingreso"" del Indec. Mientras el 10 % más rico de la población concentra el 32,1 % del total de ingresos, el 10 % más pobre de la población explica el 1,5 %.",La mitad de los asalariados percibe hasta $ 30.000,"El 50 % de los asalariados ganaba hasta $ 30.000 al término del tercer trimestre del año, informó este martes el Indec. Una suma insuficiente para llegar a fin de mes.En tanto, el organismo detalló que el 10 % más pobre de la población explicaba el 1,5 % del total de ingresos, mientras que el 10 % más rico concentraba el 32,1 % al finalizar el tercer trimestre del año.En lo que respecta al nivel de equidad de los ingresos, medidos a través del Coeficiente de Gini, donde ""0"" es el nivel de mayor igualdad y ""1"" con mayor desigualdad, al cierre del tercer trimestre fue de 0,443 puntos, levemente por debajo del 0,449 de igual período de 2019.En lo que respecta al ingreso familiar por hogares, el informe del Indec reflejó que el 60 % de estas unidades percibieron salarios de hasta $ 60.000 al cierre de tercer trimestre del año.Este año los trabajadores y los sectores populares sufrieron un golpe en sus ingresos por el aumento de los despidos, el recorte de salarios y paritarias de miseria. Se agravó la pérdida del poder de compra de la era Macri. Según una estimación elaborada por los trabajadores del Indec, ningún trabajador debería ganar menos de $ 78.827,10. Fernández prometió recomponer los salarios, pero no ocurrió.Te puede interesar: La falsa promesa de Fernández de recomponer los salarios",https://www.laizquierdadiario.com/Economia/La-mitad-de-los-asalariados-percibe-hasta-30-000
3,"
Lunes 21 de diciembre",INFORME INDEC,"Al mismo tiempo los precios mayoristas del conjunto de los ramas crecieron un 4,2 % consolidando la suba de la inflación. Los salarios cada vez alcanzan para menos y la vivienda propia se torna cada vez más inaccesible.",Se disparó el costo de la construcción: en noviembre creció más del 12 %,"La inflación no se detiene y el fin de año para la mayoría de las familias se presenta difícil de afrontar. El índice de precios mayoristas aumentó durante noviembre 4,2%, mientras que el costo de la construcción registró un incremento de 12,4%, según informó este lunes el Instituto Nacional de estadística y Censos (Indec). De esta forma, en lo que va del año, los precios mayoristas acumularon una suba del 29,7% y el costo de la construcción un aumento del 37,9% entre enero y noviembre.En medio del agravamiento de la crisis estructural habitacional que vive el país, el aumento de los precios para la realización de viviendas hace aún más difícil su solución. El factor principal que lleva hacia arriba estos costos son los materiales para construcción que acumulan un un alza del 58,5% en los primeros once meses del año. Son los empresarios productores de ladrillos, hierro, insumos plásticos y otros materiales los responsables de este grave problema.Te puede interesar: El costo de vida aumentó 37,7 % en un añoA su vez la categoría  mano de obra -que refleja la evolución del salario en el sector de la construcción- suma un incremento de sólo el 30,7% durante 2020 faltando sólo un mes para finalizar el año, contra una inflación que superará el 36%.En lo que respecta a la suba de 4,2% registrada en los precios mayoristas, los productos nacionales se incrementaron 4,1% en noviembre, mientras que los importados avanzaron 5,2% respecto a octubre. En tanto, entre los manufacturados, se destacó la suba del 13,% en muebles; del 4,1% en vehículos; 4,3% en equipos de medicina; 4,5% en metálicos básicos; 7% en derivados del caucho y el plástico; 3,35% en alimentos y bebidas; y 6,8% en productos textiles.Alberto Fernández había afirmado: “Voy a caerles con todo el peso de la ley de abastecimiento donde veamos que alguien está acaparando recursos para la construcción y está frenando la salida solo para buscar un mejor resultado” en el acto del Día de la Construcción en la planta de la empresa Loma Negra, en Olavarría. Sin embargo, y habiendo aprobado un programa de precios máximos para la construcción, la inflación en el sector no tiene freno.También podes leer: La falsa promesa de Fernández de recomponer los salarios",https://www.laizquierdadiario.com/Economia/Se-disparo-el-costo-de-la-construccion-en-noviembre-crecio-mas-del-12
4,"
Lunes 21 de diciembre",CRISIS ECONOMICA,"IRSA Propiedades Comerciales fue la más afectada. La bolsa local, el índice S&P Merval, perdió un 4,2%.","Acciones argentinas en Wall Street cayeron hasta 8,6 % por la nueva cepa de covid-19","Las acciones de empresas argentinas que cotizan en Wall Street, conocidas como ADRs, tuvieron un importante derrumbe este lunes, arrastradas por las consecuencias en los mercados globales de la aparición de nueva cepa de coronavirus de rápida propagación en el Reino Unido. Esto golpea con fuerza a la economía argentina que ya lleva tres años en retroceso y está inmersa en un ajuste aplicado por el Gobierno en busca de un acuerdo con el Fondo Monetario Internacional (FMI).Los ADRs argentinos terminaron con bajas de hasta 8,6%, lideradas por IRSA Propiedades Comerciales. Además sintieron la presión bajista los activos de Telecom Argentina (-6,2%); Supervielle (-5,9%); Cresud (-4,9%); y Pampa Energía (-4,7%).La mayor aversión al riesgo global también impactó de lleno en la plaza bursátil local, donde el índice líder S&P Merval se hundió un 4,2%, a 50.159,86 unidades, luego de llegar a caer 5,3% en el inicio de la jornada.Con las cotizaciones del dólar paralelo un 80 % por encima del dólar oficial y los bonos de deuda cotizando al 17 % de tasa de interés la presión financiera se mantiene en un punto crítico. Giros bruscos como la aparición de la nueva cepa de coronavirus en Reino Unido que podría ser hasta un 70 % más contagiosa pueden complicar aún más los planes del Gobierno.Te puede interesar: https://www.laizquierdadiario.com/Caen-las-bolsas-mundiales-y-la-libra-britanica-por-nueva-cepa-de-coronavirus",https://www.laizquierdadiario.com/Economia/Acciones-argentinas-en-Wall-Street-cayeron-hasta-8-6-por-la-nueva-cepa-de-covid-19
5,"
Lunes 21 de diciembre",TUCUMÁN,En un año más de 73.000 personas perdieron sus trabajos o dejaron de buscarlo activamente en Tucumán. Un análisis de las engañosas estadísticas oficiales.,Más de 73.000 personas fueron expulsadas del mercado de trabajo en Tucumán,"La semana pasada se publicaron los resultados del informe sobre mercado de trabajo del Indec para el tercer trimestre del año. Para el NOA la estadística arroja que Tucumán registra la tasa de desocupación más alta del NOA, 11% contra un promedio de 8,6%.Sin embargo, el Indec registra una tasa de desocupación más baja que en el primer trimestre del año, antes de la pandemia, cuando se registró un desempleo del 13,1%, y en un nivel similar al del tercer trimestre de 2019.Tomados a la ligera, estos datos podrían dar a entender que la destrucción de puestos de trabajo durante la pandemia es cosa del pasado. Sin embargo, como ya hemos señalado en otras notas, las estadísticas pueden ser engañosas.Si en vez de mirar los porcentajes, ponemos atención a la cantidad de personas, se puede observar que entre el tercer trimestre de 2019 y el tercer trimestre de 2020, la población económicamente activa (PEA), es decir, las personas que están ocupadas y las que estando desocupadas buscan empleo activamente, pasó de 428,3 mil personas a 355 mil personas.Esto significa que en un año más de 73.000 personas perdieron sus trabajos y ya no están buscando. Seguramente porque porque no consiguen. Esas 73.000 personas pasaron a formar parte de la Población Económica Inactiva (PEI).Si descomponemos esa cifra, tenemos que la población ocupada pasó de 380,6 mil a 315 mil personas. Es decir, en un año se destruyeron más de 65.000 puestos de trabajo. Mientras que los desocupados pasan de 47,6 mil a 39 mil personas.¿Cómo se explica que en el mismo lapso caiga el empleo y el desempleo? La razón de este movimiento aparentemente contradictorio que el desempleo cae porque más de 8000 desocupados dejaron de buscar trabajo y pasaron a formar parte de la PEI.Como el desempleo se mide en proporción a la PEA, una lectura superficial podría dar a entender que el desempleo está cayendo y que la destrucción de empleos durante la pandemia habría quedado superada. Sin embargo, la actividad y la ocupación siguen más de 15 puntos abajo respecto al mismo período del año pasado.Si la comparación la hacemos respecto del primer trimestre del año, se observa que durante la pandemia más de 45.000 personas fueron expulsadas del mercado de trabajo. Descomponiendo la cifra vemos que en este periodo se destruyeron 32.000 puestos de trabajo y junto a unos 13.000 desocupados pasaron todos a engrosar las filas de la población inactiva.",https://www.laizquierdadiario.com/Economia/Mas-de-73-000-personas-fueron-expulsadas-del-mercado-de-trabajo-en-Tucuman
6,"
Lunes 21 de diciembre",CRISIS ECONOMICA,"Se trata del sector de desocupados, ocupados y subocupados que buscan empleo ante una crisis que no da tregua. Crece el sector que deja de buscar empleo y pasa a la informalidad como forma de subsistencia. ¿Cómo revertirlo?",El 55% de la clase trabajadora tiene problemas de empleo en Jujuy ,"El informe del “Mercado de Trabajo” publicado por el Indec para el tercer trimestre del año da cuenta sobre  cómo la crisis económica y los efectos de la pandemia han sido descargados sobre la clase trabajadora.Si comparamos el informe del tercer trimestre con el segundo trimestre se observa cierta mejora en el nivel de empleo, considerando que fue el momento de mayores restricciones por la pandemia. Aunque vale decir que se trata de una recuperación muy leve y que no vuelve siquiera a la situación previa a la pandemia.Por eso, cuando se lo compara con el primer trimestre del año, se observa que la población económica activa cae en 18 mil personas. De las cuales, 13 mil son ocupados y 6 mil son desocupados. O sea, hay una fuerte reducción de quienes tienen empleo y quienes no lo tienen y salen a buscarlo, desocupados –según el Indec- que abandonan la búsqueda ante la falta de posibilidades lo que se denomina “efecto desaliento”. Así el desempleo del 5,1 por ciento en el tercer trimestre bajó respecto del segundo (7% ) y primer trimestre (8,2%).De esta forma, hay más trabajadores que tienen que vivir de la informalidad laboral, changas, venta callejera o en ferias que se han multiplicado por toda la provincia. Mientras deben enfrentar la persecución policial y las multas de los municipios.Te puede interesar: Una ordenanza para perseguir a los ambulantes en San Salvador de JujuyPero no se puede culpar a la pandemia, si no que éste es el resultado de la crisis económica, profundizada por las medidas de cuarentena, que los empresarios aprovechan para despedir trabajadores (se perdieron 2.300 puestos en el sector asalariado privado registrado entre marzo y septiembre, informe SIPA) y tirar a la baja las condiciones laborales.Esto se puede corroborar, en parte, en la suba de los ocupados demandantes de empleo del 22,8 al 29% entre el segundo y tercer trimestre. Aquí los bajos salarios y la pérdida del poder de compra frente a la inflación presionan por buscar otros empleos como forma de sumar ingresos para llegar a fin de mes.En igual sentido se refleja el hecho que los subocupados demandantes, aquellos que trabajan menos de 35 horas semanales y buscan empleo, hayan pasado del 3,6% al 6,4% entre el segundo y tercer trimestre del año.",https://www.laizquierdadiario.com/Economia/El-55-de-la-clase-trabajadora-tiene-problemas-de-empleo-en-Jujuy
7,"
Domingo 20 de diciembre",POLITICA,"El dirigente nacional del PTS, Christian Castillo, fue invitado a Crónica TV, donde debatió sobre la política nacional y las medidas económicas del Gobierno, luego del acto del Frente de Todos.","Christian Castillo: “Es escandaloso cómo están actuando las grandes farmacéuticas con la vacuna"" ","Al ser consultado sobre los rumores de lo que sucederá en el Gabinete nacional, Castillo destacó que hay un “contraste importante en parte de lo que dijo la vicepresidenta y la realidad que vivimos, porque señaló que la necesidad de aumentar salarios y jubilaciones y este año el Gobierno, no por la pandemia sino por una decisión política, le sacó 100 mil millones de pesos a los jubilados, respecto a lo que hubiese correspondido con la movilidad jubilatoria si no se tocaba”.¿Por qué no unificaron el sistema de salud? Ahora la vicepresidenta dice que hay tres subsistemas, ¿Por qué no lo que hicieron en la crisis? lo planteamos el Frente de Izquierda, no estoy diciendo algo que ahora que lo digo ahora Nicolás Del Caño se reunió con todos los presidentes de los Bloques para hablar con Fernández, mes de abril, dijo primera medida; centralización del sistema de salud, elemental, porque la pandemia no terminó, entonces si ahora no avanzamos en esas medidas y en primer lugar mejorar las condiciones de trabajo y mejorar las condiciones del salario de todo el sector salud.",https://www.laizquierdadiario.com/Economia/Christian-Castillo-Es-escandaloso-como-estan-actuando-las-grandes-farmaceuticas-con-la-vacuna
8,"
Viernes 18 de diciembre",AJUSTE FISCAL ,El bloque oficialista y del PJ votó ayer un presupuesto 2021 que no recupera la pérdida salarial de este año y mantiene nuevos recortes para el año próximo. El Frente de Izquierda votó en contra y exige a los sindicatos unificar a la clase trabajadora y pelear porque nadie gane menos que la canasta familiar.,Presupuesto 2021 de Jujuy: tras su votación sigue el ajuste al salario estatal,"A partir de la aprobación del presupuesto 2021 por parte del bloque oficialista y del PJ se confirma un nuevo ataque al bolsillo de los trabajadores estatales. Esto será el resultado de dos efectos.El  primero porque no se recompone la brutal pérdida de poder adquisitivo del salario este año. Con la paritaria del 10% en dos cuotas y el bono en diciembre -por única- vez de 3 mil pesos, el salario promedio de los estatales pierde un 19% de poder de compra entre enero de este año y enero 2021 (considerando la inflación del 4,8% en noviembre en la provincia y un estimado del 3% para diciembre).El segundo porque prevé un aumento de la masa salarial para el 2021 apenas del 27%, cuando la inflación prevista por el ministro de Economía de la Nación, Martín Guzmán, es del 29% y distintas consultoras y el informe REM del BCRA indica valores muy superiores que rondan el 50%.De esta manera quienes votaron este presupuesto, decidieron aplicar un nuevo ajuste a más de 86 mil familias que reciben un ingreso por el trabajo en el Estado de alguno de sus integrantes.#inflacion 4,8% en noviembre, en #Jujuy dónde @GerardoMorales impuso paritaria del 7% en noviembre y 3% en diciembre. Hay que frenarlos con la unidad de ocupados y desocupados en las calles! pic.twitter.com/aAkWDO7QQc— Gastón Remy (@RemyGaston1) December 17, 2020Por este motivo, entre otros que hacen a los magros recursos destinados a construir viviendas, a los recortes de los fondos para salud y educación, es que desde el bloque de diputados del Frente de Izquierda lo rechazaron, tal como afirmó el diputado del PTS-FIT Alejandro Vilca en declaraciones a distintos medios.A su vez, Vilca, sostuvo que “tal como presentamos durante la emergencia sanitaria por la pandemia es necesario aplicar mayores impuestos a los grandes grupos económicos, no rebajar los ingresos brutos como se viene haciendo desde el gobierno del ex presidente Macri; a la vez, que se debe dejar de pagar la deuda con el FMI y volcar esos recursos a un plan de obras públicas bajo control de los trabajadores y así generar trabajo genuino”.Te puede interesar: Presupuesto 2021 de Jujuy: ajuste y beneficios para los mismos de siempre",https://www.laizquierdadiario.com/Economia/Presupuesto-2021-de-Jujuy-tras-su-votacion-sigue-el-ajuste-al-salario-estatal
9,"
Viernes 18 de diciembre",CONGRESO NACIONAL,Desde el lunes próximo se realizarán las reuniones en comisiones de la Cámara Baja para tratar la nueva fórmula de movilidad jubilatoria. Un nuevo saqueo a los jubilados y las jubiladas que convalida la pérdida de los últimos años.,Comienza en Diputados el debate para un nuevo ajuste a los jubilados,"A partir del lunes de la semana que viene comienza el debate en Diputados sobre la nueva fórmula de movilidad jubilatoria, que ya cuenta con aprobación del Senado. Se realizarán las reuniones conjuntas de la comisión de Presupuesto y Hacienda, y de Previsión y Seguridad Social, que conducen, respectivamente, Marcelo Casaretto y Carlos Heller.La primera comisión será el lunes 21 de diciembre a las 14 horas, y participará la Directora Ejecutiva de la Anses María Fernanda Raverta y el Ministro de Trabajo y Seguridad Social Claudio Moroni.El debate seguirá el martes 22 de diciembre y el miércoles 23 de diciembre a las 10 horas.La intención del oficialismo es sancionar la ley el próximo martes 29.La nueva fórmula convalida la pérdida de las jubilaciones de los últimos años y significa un ajuste sobre los adultos mayores.  El proyecto propone una fórmula de movilidad similar a la aplicada durante los años 2008 a 2017, y combina en un 50 % la recaudación de la Anses y en otro 50 % la variación salarial, surgida ésta última de la más alta entre las medidas por el Indec y por el Ministerio de Trabajo (índice RIPTE).La propuesta oficial se conoció en la misma semana que llegó la misión del FMI para renegociar un acuerdo. Un saqueo a los jubilados a medida de las exigencias del Fondo.El Frente de Izquierda-Unidad convoca el próximo 22 de diciembre en el Congreso a una concentración para rechazar la reforma previsional.Te puede interesar: Martes 22: el Frente de Izquierda moviliza al Congreso para rechazar el ajuste a los jubilados",https://www.laizquierdadiario.com/Economia/Comienza-en-Diputados-el-debate-para-un-nuevo-ajuste-a-los-jubilados
